word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
enforce,in'fɒ:s,v. ensure observance of laws and rules; \nv. compel to behave in a certain way,"vt. 强迫, 执行, 坚持\n[经] 予以强制执行",,2,,cet4 cet6 ky ielts,3577,3545,d:enforced/i:enforcing/p:enforced/3:enforces,,
engage,in'geidʒ,"v. ask to represent; of legal counsel\nv. get caught\nv. carry on (wars, battles, or campaigns)\nv. hire for work or assistance","vi. 答应, 从事, 交战\nvt. 使忙碌, 雇佣, 预定, 使从事于, 使参加",,3,1,cet4 cet6 ky toefl ielts,2038,1387,d:engaged/p:engaged/i:engaging/3:engages,,
engagement,in'geidʒdmәnt,n. employment for performers or performing groups that lasts for a limited period of time\nn. contact by fitting together\nn. the act of sharing in the activities of a group,"n. 诺言, 约会, 婚约, 交战\n[医] 衔接",,2,,cet6 ky ielts,3950,3812,s:engagements,,
engine,'endʒin,"n. motor that converts thermal energy to mechanical work\nn. something used to achieve a purpose\nn. an instrument or machine that is used in warfare, such as a battering ram, catapult, artillery piece, etc.","n. 引擎, 发动机, 机车\nvt. 安装发动机于",,4,1,gk cet4 cet6 ky ielts,1374,1569,s:engines/p:engined,,
engineer,.endʒi'niә,n. a person who uses scientific knowledge to solve practical problems\nn. the operator of a railway locomotive\nv. design as an engineer,"n. 工程师, 工兵\nvt. 设计, 监造, 精明地处理, 策划",,3,1,zk gk cet4 cet6 ky ielts,1889,1997,s:engineers/d:engineered/p:engineered/i:engineering/3:engineers,,
engineering,.endʒi'niәriŋ,n. the discipline dealing with the art or science of applying scientific knowledge to practical problems\nn. a room (as on a ship) in which the engine is located,"n. 工程学, 工程, 操纵\n[化] 机器; 机器学",,3,1,cet4 cet6 ky ielts,1815,2385,i:engineering/0:engineering/1:i,,
engineers,,n a person who uses scientific knowledge to solve practical problems\nn the operator of a railway locomotive\nv design as an engineer\nv plan and direct (a complex undertaking),n. 工程师；机械师（engineer的复数）,,,,ielts,0,0,1:s3/0:engineer,,
England,'iŋglәnd,n. a division of the United Kingdom,"n. 英格兰\n[法] 英格兰, 英国",,,,zk ielts,411,0,,,
engrave,in'greiv,v. impress or affect deeply\nv. carve or cut into a block used for printing or print from such a block\nv. carve or cut a design or letters into,"vt. 刻上, 雕刻, 铭记",,1,,toefl ielts gre,12046,12280,d:engraved/p:engraved/i:engraving/s:engraves/3:engraves,,
engross,in'grәus,v devote (oneself) fully to\nv consume all of one's attention or time,"vt. 用大字体书写, 独占(市场), 使全神贯注\n[法] 正式誊写, 以大字写, 囤积",,,,toefl ielts gre,15345,16062,d:engrossed/p:engrossed/i:engrossing/3:engrosses,,
enhance,in'hæns,v. increase\nv. make better or more attractive,"vt. 提高, 加强, 增加",,3,,cet4 cet6 ky toefl ielts gre,2669,2331,d:enhanced/i:enhancing/3:enhances/p:enhanced,,
enlighten,in'laitn,v. make understand\nv. give spiritual insight to; in religion,"vt. 教育, 启发, 启蒙, 开导, 教导",,1,,cet6 ky toefl ielts gre,13682,11536,i:enlightening/d:enlightened/p:enlightened/3:enlightens,,
enormous,i'nɒ:mәs,"s. extraordinarily large in size or extent or amount or power or degree; that a whole civilization should be dependent on technology""- Walter Lippman","a. 巨大的, 庞大的",,3,1,cet4 cet6 ky toefl ielts gre,2120,1994,,,
enquire,in'kwaiә,v inquire about\nv conduct an inquiry or investigation of\nv have a wish or desire to know something,v. 询问,,,,ky ielts,4340,29201,p:enquired/i:enquiring/d:enquired/3:enquires,,
enquiry,in'kwaiәri,n an instance of questioning\nn a search for knowledge\nn a systematic investigation of a matter of public interest,"n. 询问\n[经] 询价, 询盘",,,1,gk ielts,2472,24159,s:enquiries,,
enrich,in'ritʃ,v. make better or improve in quality\nv. make wealthy or richer,"vt. 使富足, 使肥沃",,1,,cet6 ky toefl ielts,8880,6879,d:enriched/i:enriching/3:enriches/p:enriched,,
enroll,in'rәul,v. register formally as a participant or member,"vt. 登记, 使加入\nvi. 参军, 注册",,,,cet4 cet6 ky toefl ielts,0,3994,i:enrolling/p:enrolled/3:enrols/d:enrolled,,
enrollment,in'rәulmәnt,n the act of enrolling\nn the body of people (such as students) who register or enroll at the same time,"n. 登记, 注册, 入伍\n[经] 登记, 注册",,,,ielts,0,6365,,,
enrolment,in'rәulmәnt,n the act of enrolling,"n. 登记, 注册, 入伍, 入学, 入会, 注册人数, 入学人数",,,,ielts,10724,0,s:enrolments,,
ensemble,ɒn'sɒŋblә,n. a group of musicians playing or singing together\nn. a cast other than the principals\nn. an assemblage of parts or details (as in a work of art) considered as forming a whole\nn. a coordinated outfit (set of clothing),"n. 全体, 合唱曲, (女人的)全套服装\n[化] 总体; 整体; 系综",,1,,toefl ielts gre,8925,5224,s:ensembles,,
ensue,en'su:,"v issue or terminate (in a specified way, state, etc.); end","vi. 跟着发生, 继起\nvt. 追求",,1,,cet6 ielts gre,8586,9538,p:ensued/3:ensues/d:ensued/i:ensuing,,
entail,in'teil,"n. land received by fee tail\nn. the act of entailing property; the creation of a fee tail from a fee simple\nv. have as a logical consequence\nv. impose, involve, or imply as a necessary accompaniment or result","vt. 使成为必需, 需要, 使承担, 遗传给\nn. 限定继承",,1,,cet6 ky toefl ielts gre,4558,6162,3:entails/p:entailed/d:entailed/i:entailing,,
entangle,in'tæŋgl,v. entrap\nv. twist together or entwine into a confusing mass,"vt. 使纠缠, 卷入, 使混乱",,1,,toefl ielts gre,14233,14257,d:entangled/i:entangling/3:entangles/p:entangled,,
enterprise,'entәpraiz,n. a purposeful or industrious undertaking (especially one that requires effort or boldness)\nn. an organization created for business ventures\nn. readiness to embark on bold new ventures,"n. 企业, 事业心, 进取心, 干事业\n[计] 企业",,3,,gk cet6 ky toefl ielts gre,1566,2499,s:enterprises,,
entertainment,.entә'teinmәnt,n. an activity that is diverting and that holds the attention,"n. 娱乐, 款待, 娱乐表演",,3,1,gk cet4 cet6 ky toefl ielts,3187,2350,s:entertainments,,
enthusiasm,in'θju:ziæzәm,n. a feeling of excitement\nn. a lively interest,"n. 巨大的热情, 热心",,3,1,cet4 cet6 ky toefl ielts,2678,3716,s:enthusiasms,,
enthusiastic,in.θju:zi'æstik,a. having or showing great excitement and interest,"a. 狂热的, 热心的, 热烈的",,2,1,gk cet4 cet6 ky ielts,4458,5508,,,
entitle,in'taitl,v. give the right to\nv. give a title to,"vt. 给...权利, 取名为, 给予名称, 叫做\n[法] 给...权利, 使有资格, 称呼",,3,1,cet4 cet6 ky toefl ielts gre,2886,3465,d:entitled/3:entitles/p:entitled/i:entitling,,
entity,'entiti,n. that which is perceived or known or inferred to have its own distinct existence (living or nonliving),"n. 实体, 实存物, 存在\n[计] 实体",,2,,cet6 ky toefl ielts gre,3875,3932,s:entities,,
entrance,'entrәns,n. something that provides access (to get in or get out)\nn. a movement into or inward\nn. the act of entering\nv. put into a trance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任\nvt. 使出神, 使入迷\n[计] 入口",,1,1,gk cet4 cet6 ky toefl ielts gre,2465,2877,s:entrances/d:entranced/p:entranced/i:entrancing/3:entrances,,
entreat,in'tri:t,v ask for or request earnestly,"v. 恳求, 乞求",,,,cet6 ielts gre,32920,27532,p:entreated/d:entreated/i:entreating/3:entreats,,
entrepreneur,.ɒntrәprә'nә:,n. someone who organizes a business venture and assumes the risk for it,"n. 企业家, 主办人\n[经] 承包商, 企业家",,2,,cet6 ky toefl ielts gre,6601,4279,s:entrepreneurs,,
entry,'entri,n. an item inserted in a written record\nn. a written record of a commercial transaction,"n. 登录, 条目, 进入, 入口, 报关\n[计] 登录项, 输入项, 条目",,4,1,gk cet4 cet6 ky toefl ielts gre,1373,2338,s:entries,,
environment,in'vairәnmәnt,n. the totality of surrounding conditions\nn. the area in which something exists or lives,"n. 环境, 外界, 围绕\n[计] 环境",,4,1,zk gk cet4 cet6 ky ielts,702,855,s:environments,,
environmental,in.vaiәrәn'mentәl,a. of or relating to the external conditions or surroundings\na. concerned with the ecological effects of altering the environment,"a. 周围的, 环境的\n[经] 环境的, 环保的",,4,1,cet6 ielts,1193,819,,,
envisage,in'vizidʒ,v form a mental image of something that is not present or that is not the case,"vt. 面对, 正视, 想象",,2,,cet6 ky ielts gre,3832,16510,d:envisaged/p:envisaged/3:envisages/i:envisaging,,
envy,'envi,n. a feeling of grudging admiration and desire to have something that is possessed by another\nn. spite and resentment at seeing the success of another (personified as one of the deadly sins)\nv. feel envious towards; admire enviously\nv. be envious of; set one's heart on,"n. 羡慕, 嫉妒\nvt. 羡慕, 嫉妒",,2,,gk cet4 cet6 ky ielts,8468,8491,p:envied/d:envied/i:envying/3:envies/s:envies,,
enzyme,'enzaim,n. any of several complex proteins that are produced by cells and act as catalysts in specific biochemical reactions,n. 酶\n[化] 酶,,2,,toefl ielts gre,5221,7064,s:enzymes,,
ephemeral,i'femәrәl,s. lasting a very short time,"a. 朝生暮死的, 短命的, 短暂的\n[医] 暂时的",,,,toefl ielts gre,15628,14116,s:ephemerals,,
epidemic,.epi'demik,n. a widespread outbreak of an infectious disease; many people are infected at the same time\na. (especially of medicine) of disease or anything resembling a disease; attacking or affecting many individuals in a community or a population simultaneously,"n. 传染病, 流行病\na. 流行的, 传染性的",,2,,cet6 ky toefl ielts gre,7094,4919,s:epidemics,,
episode,'episәud,n. a happening that is distinctive in a series of related events\nn. a brief section of a literary or dramatic work that forms part of a connected series\nn. a part of a broadcast serial,"n. 插曲, 插话, 有趣的事件, 一段情节\n[医] 插话, 插曲, 发作",,2,,cet4 cet6 ky toefl ielts gre,3396,2846,s:episodes,,
epoch,'i:pɒk,n. (astronomy) an arbitrarily fixed date that is the point in time relative to which information (as coordinates of a celestial body) is recorded\nn. a unit of geological time that is a subdivision of a period and is itself divided into ages,"n. 新纪元, 时代, 时期",,1,,cet6 ky toefl ielts gre,15275,12794,s:epochs,,
equal,'i:kwәl,"v. be identical or equivalent to\nv. be equal to in quality or ability\nv. make equal, uniform, corresponding, or matching\na. having the same quantity, value, or measure as another","n. 对手, 匹敌, 同辈\na. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的\nvt. 等于, 比得上\n[计] 等长度编码",,4,1,gk cet4 cet6 ky toefl ielts,1547,1830,3:equals/s:equals/d:equalled/p:equalled/i:equalling,,
equation,i'kweiʃәn,n. a mathematical statement that two expressions are equal\nn. the act of regarding as equal,"n. 相等, 等式, 平衡\n[化] 方程式; 等式; 反应式; 公式",,2,,cet4 cet6 ky toefl ielts gre,2458,3982,s:equations,,
equator,i'kweitә,n. an imaginary line around the Earth forming the great circle that is equidistant from the north and south poles\nn. a circle dividing a sphere or other surface into two usually equal and symmetrical parts,"n. 赤道\n[医] 赤道, 中纬线",,1,,cet6 ky toefl ielts gre,15702,12760,s:equators,,
equilibrium,.i:kwi'libriәm,n. a stable situation in which forces cancel one another\nn. a sensory system located in structures of the inner ear that registers the orientation of the head,"n. 平衡, 平静, 均衡\n[化] 平衡",,1,,cet6 toefl ielts gre,4064,9063,,,
equipment,i'kwipmәnt,n. an instrumentality needed for an undertaking or to perform a service,"n. 装备, 设备, 才能\n[化] 设备; 装备; 装置",,4,1,gk cet4 cet6 ky toefl ielts,1117,1352,s:equipments,,
equitable,'ekwitәbl,a. fair to all parties as dictated by reason and conscience,"a. 公平的, 公正的\n[法] 公平的, 公正的, 平衡法的",,1,,toefl ielts,8215,9927,,,
equity,'ekwiti,n. the difference between the market value of a property and the claims held against it\nn. the ownership interest of shareholders in a corporation,"n. 公平, 公正\n[经] 权益, 产权",,3,,ielts gre,3355,3863,s:equities,,
equivalent,i'kwivәlәnt,n. a person or thing equal to another in value or measure or force or effect or significance etc\nn. the atomic weight of an element that has the same combining capacity as a given weight of another element; the standard is 8 for oxygen\ns. being essentially equal to something,"n. 同等物, 等价物, 相等物\na. 相等的, 相当的, 同意义的\n[计] 等价的",,3,1,cet4 cet6 ky toefl ielts gre,3051,4330,s:equivalents,,
equivocal,i'kwivәkl,a. open to two or more interpretations; or of uncertain nature or significance; or (often) intended to mislead\ns. open to question\ns. uncertain as a sign or indication,"a. 意义不明确的, 模棱两可的\n[医] 双关的, 两可的",,,,toefl ielts,19210,20444,,,
eradicate,i'rædikeit,"v kill in large numbers\nv destroy completely, as if down to the roots","vt. 根除, 扑灭, 根绝, 消灭",,1,,cet6 toefl ielts gre,8573,9110,d:eradicated/i:eradicating/3:eradicates/p:eradicated,,
erase,i'reis,v. remove from memory or existence\nv. remove by or as if by rubbing or erasing\nv. wipe out digitally or magnetically recorded information,"vt. 抹去, 擦掉\n[计] 清洗; 擦除; 抹除; DOS内部命令:从磁盘上删除一个或多个文件",,1,,ky toefl ielts gre,9495,5776,d:erased/p:erased/i:erasing/3:erases,,
erect,i'rekt,a. upright in position or posture,"a. 直立的, 竖立的, 笔直的\nvt. 使竖立, 使直立, 树立, 建立\nvi. 勃起",,2,,cet4 cet6 ky toefl ielts gre,4303,6356,d:erected/p:erected/i:erecting/3:erects,,
erosion,i'rәuʒәn,n. (geology) the mechanical process of wearing or grinding something down (as by particles washing over it)\nn. condition in which the earth's surface is worn away by the action of water and wind\nn. a gradual decline of something,"n. 腐蚀, 冲蚀, 侵蚀\n[化] 磨耗; 侵蚀",,1,,cet6 ky toefl ielts,4884,5930,s:erosions,,
errand,'erәnd,n. a short trip that is taken in the performance of a necessary task or mission,"n. 任务, 差使, 使命",,1,,cet6 ielts gre,12341,9937,s:errands,,
erratic,i'rætik,"s. liable to sudden unpredictable change\ns. having no fixed course\ns. likely to perform unpredictably; sometimes it would start and sometimes it wouldn't""","n. 古怪的人, 漂泊无定的人\na. 不稳定的, 奇怪的",,1,,toefl ielts gre,9568,10635,s:erratics,,
erroneous,i'rәuniәs,s. containing or characterized by error,"a. 错误的, 不正确的\n[法] 错误的, 不正确的",,1,,cet6 ky toefl ielts,14695,12587,,,
erupt,i'rʌpt,v. start abruptly\nv. erupt or intensify suddenly\nv. start to burn or burst into flames\nv. break out,vi. 爆发\nvt. 喷出,,2,,gk cet6 ky toefl ielts gre,6441,5291,p:erupted/d:erupted/3:erupts/i:erupting,,
escalate,'eskәleit,v. increase in extent or intensity,"vi. 逐步扩大, 逐步升高, 逐步增强\nvt. 使逐步上升",,2,,ky toefl ielts gre,11155,7542,d:escalated/3:escalates/p:escalated/i:escalating,,
escalator,'eskәleitә,n. a stairway whose steps move continuously on a circulating belt,"n. 电动扶梯, 自动扶梯\n[机] 升降阶梯",,,,toefl ielts,19400,14743,s:escalators,,
escort,'eskɒ:t,n. the act of accompanying someone or something in order to protect them\nn. an attendant who is employed to accompany someone\nv. accompany as an escort,"n. 护送者, 护卫者, 护航舰\nvt. 护卫, 护送",,2,,cet6 ky toefl ielts gre,6470,6668,d:escorted/p:escorted/i:escorting/s:escorts/3:escorts,,
essay,'esei. e'sei,n. an analytic or interpretive literary composition\nn. a tentative attempt,"n. 随笔, 短文, 评论, 企图\nvt. 试图",,2,1,gk cet4 cet6 ky ielts,3147,2536,s:essays/p:essayed/d:essayed/i:essaying/3:essays,,
essence,'esns,n. any substance possessing to a high degree the predominant properties of a plant or drug or other natural product from which it is extracted,"n. 实质, 本质, 香精\n[化] 香精",,2,,cet6 ky toefl ielts,3536,3468,s:essences,,
essential,i'senʃәl,s. absolutely necessary; vitally necessary\na. basic and fundamental\na. being or relating to or containing the essence of a plant etc,"n. 要素, 要点, 本质\na. 必要的, 重要的, 本质的\n[计] 本质冒险",,4,1,cet4 cet6 ky toefl ielts gre,1155,1949,s:essentials,,
establish,i'stæbliʃ,v. set up or found\nv. set up or lay the groundwork for\nv. bring about\nv. use as a basis for; found on,"vt. 建立, 确立, 制定\nvi. 移植生长",,4,1,cet4 cet6 ky ielts,576,896,d:established/i:establishing/p:established/3:establishes,,
estate,i'steit,n. everything you own; all of your assets (whether real property or personal property) and liabilities\nn. extensive landed property (especially in the country) retained by the owner for his own use,"n. 不动产, (人生的)阶段, 阶层, 财产\n[经] 房地产, 遗产, 财产",,2,1,cet4 cet6 ky toefl ielts,1302,1778,s:estates,,
esteem,i'sti:m,n. the condition of being honored (esteemed or respected or well regarded),"n. 尊敬, 尊重\nvt. 尊敬, 尊重, 认为",,2,,ky toefl ielts,9623,11271,d:esteemed/p:esteemed/3:esteems/i:esteeming/s:esteems,,
estimate,'estimeit,n. an approximate calculation of quantity or degree or worth\nn. a judgment of the qualities of something or somebody\nn. a statement indicating the likely cost of some job\nn. the respect with which a person is held,"n. 估计, 判断\nvt. 估计, 评价, 判断\nvi. 估计",,4,1,cet4 cet6 ky toefl ielts,1826,1798,d:estimated/s:estimates/p:estimated/3:estimates/i:estimating,,
eternal,i'tә:nl,s continuing forever or indefinitely\ns tiresomely long; seemingly without end,"a. 永恒的, 永远的, 不灭的",,2,,cet6 ky toefl ielts gre,6025,5626,,,
ethnic,'eθnik,n. a person who is a member of an ethnic group,"a. 人种的, 种族的\n[医] 人种的",,3,,cet6 ky toefl ielts gre,3244,1729,,,
etiquette,eti'ket,n. rules governing socially acceptable behavior,"n. 礼仪, 礼节, 成规\n[法] 规则, 成规, 礼节",,1,,toefl ielts gre,14358,11679,s:etiquettes,,
Europe,'juәrәp,n. the 2nd smallest continent (actually a vast peninsula of Eurasia); the British use `Europe' to refer to all of the continent except the British Isles\nn. the nations of the European continent collectively,n. 欧洲,,,,zk ielts,558,0,,,
European,.juәrә'pi:әn,n. a native or inhabitant of Europe\na. of or relating to or characteristic of Europe or the people of Europe,"n. 欧洲人\na. 欧洲的, 欧洲人的",,,,zk gk ielts,512,1263,s:europeans,,
evacuate,i'vækjueit,"v. move out of an unsafe location into safety\nv. empty completely\nv. move people from their homes or country\nv. create a vacuum in (a bulb, flask, reaction vessel)","v. 疏散, 撤出, 排泄",,2,,cet4 cet6 ky toefl ielts gre,7751,6917,d:evacuated/i:evacuating/p:evacuated/3:evacuates,,
evade,i'veid,v. practice evasion\nv. use cunning or deceit to escape or avoid,"v. (巧妙地)逃脱, 规避, 逃避",,1,,ky toefl ielts gre,8471,9545,i:evading/d:evaded/p:evaded/3:evades,,
evaluate,i'væljueit,v. form a critical opinion of,"vt. 评估, 评价, 赋值",,2,,gk cet4 cet6 ky toefl ielts,3168,2339,d:evaluated/i:evaluating/p:evaluated/3:evaluates,,
evaporate,i'væpәreit,v. lose or cause to lose liquid by vaporization leaving a more concentrated residue\nv. cause to change into a vapor\nv. change into a vapor,"vi. 蒸发, 失去水分, 消失\nvt. 使蒸发, 使脱水, 使消失",,1,,cet4 cet6 ky toefl ielts gre,8428,7887,d:evaporated/3:evaporates/p:evaporated/i:evaporating/s:evaporates,,
even,'i:vәn,v. become even or more even\nv. make even or more even\na. divisible by two\ns. equal in degree or extent or amount; or equally matched or balanced,"a. 平坦的, 相等的, 连贯的, 均等的, 公平的, 偶数的, 平均的, 平衡的, 恰好的\nvt. 使平坦, 使相等\nvi. 变平, 成为相等\nadv. 甚至, 实际上, 完全, 十分\nn. 偶数, 偶校验\n[计] 偶数, 偶校验",,1,1,zk gk toefl ielts gre,113,107,i:evening/p:evened/3:evens/d:evened,,
evening,'i:vniŋ,n. the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)\nn. a later concluding time period\nn. the early part of night (from dinner until bedtime) spent in a special way,"n. 傍晚, 晚间, 末期",,4,1,zk gk ielts,651,961,1:i/0:even/s:evenings,,
event,i'vent,n. something that happens at a given place and time\nn. a special set of circumstances\nn. a phenomenon located at a single point in space-time; the fundamental observational entity in relativity theory,"n. 事件, 结果, 事情的进程, 竞赛项目\n[计] 事件",,5,1,gk cet4 ky ielts,473,525,s:events,,
eventually,i'ventʃuәli,r after an unspecified period of time or an especially long delay,"adv. 最后, 终于",,4,1,gk cet4 cet6 ky toefl ielts,1089,1106,,,
everlasting,.evә'læstiŋ,n. any of various plants of various genera of the family Compositae having flowers that can be dried without loss of form or color,"a. 永恒的, 持久的\nn. 上帝, 神",,,,cet6 toefl ielts gre,14550,16997,s:everlastings,,
evict,i'vikt,v. expel or eject without recourse to legal process\nv. expel from one's property or force to move out by a legal process,"vt. 逐出, 赶出, 驱逐\n[法] 逐出, 驱逐, 没收",,1,,ielts gre,11583,12321,d:evicted/i:evicting/p:evicted/3:evicts,,
evidence,'evidәns,n. your basis for belief or disbelief; knowledge on which to base belief\nn. an indication that makes something evident\nn. (law) all the means by which any alleged matter of fact whose truth is investigated at judicial trial is established or disproved,"n. 根据, 证据, 迹象\n[经] 证据, 凭证",,4,1,gk cet4 cet6 ky toefl ielts,456,606,d:evidenced/s:evidences/i:evidencing/p:evidenced/3:evidences,,
evoke,i'vәuk,"v call forth (emotions, feelings, and responses)\nv evoke or provoke to appear or occur\nv deduce (a principle) or construe (a meaning)\nv summon into action or bring into existence, often as if by magic\nv call to mind","vt. 唤起, 引起, 召(魂)\n[法] 提审, 移送",,2,,cet6 ky toefl ielts gre,5736,5018,3:evokes/d:evoked/p:evoked/i:evoking,,
evolution,.i:vә'lu:ʃәn,n. (biology) the sequence of events involved in the evolutionary development of a species or taxonomic group of organisms,"n. 进化, 发展, 进展, (气体)放出, 开方\n[医] 进化, 演化, 旋出",,2,,gk cet4 cet6 ky toefl ielts,3069,2946,s:evolutions,,
exacerbate,ek'sæsәbeit,v. exasperate or irritate,"vt. 使恶化, 使增剧, 激怒, 使加剧",,1,,ielts gre,7893,7171,d:exacerbated/p:exacerbated/3:exacerbates/i:exacerbating,,
exaggerate,ig'zædʒәreit,v to enlarge beyond bounds or the truth\nv do something to an excessive degree,"v. 夸大, 夸张",,2,1,cet4 cet6 ky toefl ielts gre,5927,6312,d:exaggerated/i:exaggerating/p:exaggerated/3:exaggerates,,
exam,ig'zæm,n a set of questions or exercises evaluating skill or knowledge,"n. 考试, 测验",,2,1,zk ielts,4174,4224,s:exams,,
examination,ig.zæmi'neiʃәn,n. the act of examining something closely (as for mistakes)\nn. a set of questions or exercises evaluating skill or knowledge\nn. the act of giving students or candidates a test (as by questions) to determine what they know or have learned,"n. 考试, 测验, 审查\n[医] 检查, 诊察",,3,1,zk cet4 cet6 ielts,1531,3069,s:examinations,,
example,ig'zæmpl,n. an item of information that is typical of a class or group\nn. punishment intended as a warning to others,"n. 例子, 样本, 实例\n[化] 实例",,5,1,zk gk ielts,511,852,s:examples,,
examples,,n an item of information that is typical of a class or group\nn a representative form or pattern\nn something to be imitated\nn punishment intended as a warning to others\nn an occurrence of something\nn a task performed or problem solved in order to develop skill or understanding,n. 例子；列证（example的复数形式）,,,,ielts,0,0,0:example/1:s,,
exams,,n a set of questions or exercises evaluating skill or knowledge,n. 考试；检查（exam的复数）,,,,ielts,0,0,0:exam/1:s,,
exasperate,ig'zæspәreit,v exasperate or irritate\nv make furious\nv make worse,"vt. 使恼怒, 激怒, 恶化\na. 糙面的, 恼怒的, 激怒的",,1,,toefl ielts gre,14769,17029,d:exasperated/p:exasperated/i:exasperating/3:exasperates,,
excavate,'ekskәveit,v. recover through digging\nv. find by digging in the ground\nv. form by hollowing\nv. remove the inner part or the core of,"v. 挖空, 挖出, 凿通",,1,,toefl ielts gre,10210,10160,d:excavated/p:excavated/i:excavating/3:excavates,,
exceed,ik'si:d,v. be greater in scope or size than some standard\nv. be superior or better than some standard,"vt. 超过, 超越, 胜过\nvi. 超过其他",,2,,cet4 cet6 ky toefl ielts gre,2718,3281,3:exceeds/i:exceeding/d:exceeded/p:exceeded,,
exceedingly,ik'si:diŋli,r to an extreme degree,"adv. 极端地, 极度地, 非常",,1,,cet4 cet6 ky ielts,9520,10807,,,
excel,ik'sel,v. distinguish oneself,"vt. 胜过, 优于, 擅长\nvi. 胜过其他",,1,,cet6 ky toefl ielts gre,8675,7055,p:excelled/3:excels/d:excelled/i:excelling,,
exception,ik'sepʃәn,"n. a deliberate act of omission\nn. an instance that does not conform to a rule or generalization; the only exception was her last child""\nn. grounds for adverse criticism","n. 例外, 除外, 异议\n[计] 例外; 异常",,3,1,cet4 cet6 ky toefl ielts,2045,2401,s:exceptions,,
exceptional,ik'sepʃәnәl,s. deviating widely from a norm of physical or mental ability; used especially of children below normal in intelligence,"a. 例外的, 异常的, 特别的",,2,,cet6 ky toefl ielts gre,3970,6002,s:exceptionals,,
excerpt,'eksә:pt,n. a passage selected from a larger work\nv. take out of a literary work in order to cite or copy,"n. 摘录\nv. 引用, 摘录",,3,,ky toefl ielts gre,18600,6058,s:excerpts/p:excerpted/d:excerpted/i:excerpting/3:excerpts,,
excess,ik'ses,"n. a quantity much larger than is needed\nn. immoderation as a consequence of going beyond sufficient or permitted limits\ns. more than is needed, desired, or required","n. 过度, 剩于, 超过, 超额\na. 过量的, 额外的",,3,,cet4 cet6 ky toefl ielts gre,4540,5741,s:excesses,,
exchange,iks'tʃeindʒ,n. chemical process in which one atom or ion or group changes places with another\nn. a mutual expression of views (especially an unpleasant one)\nn. the act of changing one thing for another thing\nn. the act of giving something in return for something received,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所\nv. 交换, 交易, 兑换\n[计] 交换; 电话局",,4,1,gk cet4 cet6 ky toefl ielts,1084,1513,s:exchanges/d:exchanged/p:exchanged/i:exchanging/3:exchanges,,
excitement,ik'saitmәnt,n. the state of being emotionally aroused and worked up,"n. 刺激, 兴奋\n[医] 兴奋, 激动",,2,1,cet4 ky toefl ielts,2893,3506,s:excitements,,
exciting,ik'saitiŋ,a. creating or arousing excitement\ns. stimulating interest and discussion,"a. 令人兴奋的, 刺激的\n[电] 激磁",,3,1,cet4 cet6 ky toefl ielts,2540,2926,i:exciting/0:exciting/1:i,,
exclaim,iks'kleim,"v. utter aloud; often with surprise, horror, or joy","v. 大叫, 呼喊, 大声叫",,1,,cet4 cet6 ky toefl ielts gre,5494,6297,p:exclaimed/i:exclaiming/3:exclaims/d:exclaimed,,
exclude,iks'klu:d,v. prevent from being included or considered or accepted\nv. prevent from entering; shut out\nv. lack or fail to include,"vt. 除外, 排除, 排斥\n[医] 除外(诊断)",,2,1,cet4 cet6 ky toefl ielts gre,1940,3470,d:excluded/i:excluding/3:excludes/p:excluded,,
exclusive,ik'sklu:siv,n. a news report that is reported first by one news organization\ns. not divided or shared with others\na. excluding much or all; especially all but a particular group or minority,"a. 排外的, 独占的, 唯一的\n[计] 独占的",,2,,cet4 cet6 ky toefl ielts gre,3377,3753,s:exclusives,,
exclusively,ik'sklu:sivli,r without any others being included or involved,"adv. 排他地, 仅仅, 专门, 只, 仅, 唯一地, 专有地",,2,,cet4 cet6 toefl ielts,3993,4489,,,
excrement,'ekskrimәnt,n waste matter (as urine or sweat but especially feces) discharged from the body,"n. 排泄, 大便\n[医] 粪便",,,,ielts,19671,20863,,,
excursion,ik'skә:ʒәn,n. a journey taken for pleasure,"n. 远足, 游览圆, 短程旅行\n[医] 移动, 离轨, 逸出",,1,,cet4 cet6 ky toefl ielts gre,6562,8288,s:excursions,,
excuse,ik'skju:z,n. a defense of some offensive behavior or some failure to keep a promise etc.\nn. a note explaining an absence\nv. accept an excuse for\nv. grant exemption or release to,"vt. 原谅, 申辩, 做为...的托辞\nn. 致歉, 理由, 饶恕, 借口",,3,1,zk gk toefl ielts,3182,3484,s:excuses/d:excused/p:excused/i:excusing/3:excuses,,
execute,'eksikju:t,v. kill as a means of socially sanctioned punishment\nv. murder in a planned fashion\nv. carry out the legalities of\nv. sign in the presence of witnesses,"vt. 执行, 实行, 完成, 处死, 制成\n[计] 执行",,3,,cet4 cet6 ky toefl ielts gre,3704,3642,d:executed/p:executed/i:executing/3:executes,,
execution,.eksi'kju:ʃәn,n. putting a condemned person to death\nn. (computer science) the process of carrying out an instruction by a computer\nn. (law) the completion of a legal instrument (such as a contract or deed) by signing it (and perhaps sealing and delivering it) so that it becomes legally binding and enforceable,"n. 实行, 完成, 执行, 死刑\n[计] 执行",,,,cet6 toefl ielts,3988,4234,s:executions,,
